date,location,species,latinName,id,latitude,longitude
2016-09-16T13:43:34,Newcastle,Southern rodent tick,Ixodes acuminatus,1,54.94393446863736,-1.56861019174749
2018-07-22T22:25:12,Nottingham,Marsh tick,Ixodes apronophorus,2,52.95535701666812,-1.1937945391387026
2017-12-02T17:54:08,Glasgow,Fox/badger tick,Ixodes canisuga,3,55.90856093339727,-4.263331712355163
2022-11-12T02:48:43,Southampton,Marsh tick,Ixodes apronophorus,4,50.90795204168737,-1.359460481493567
2023-04-10T01:32:31,Birmingham,Passerine tick,Dermacentor frontalis,5,52.47123316940344,-1.9194588717680798
2024-05-02T06:27:49,Glasgow,Passerine tick,Dermacentor frontalis,6,55.86301474758686,-4.291296997209254
2022-08-10T18:28:37,Nottingham,Southern rodent tick,Ixodes acuminatus,7,52.932460108208716,-1.198764022584813
2021-01-13T18:53:35,Glasgow,Tree-hole tick,Ixodes arboricola,8,55.85341426657021,-4.210176525804403
2014-02-13T20:33:49,Bristol,Southern rodent tick,Ixodes acuminatus,9,51.426237116708876,-2.583507928674836
2012-01-24T00:24:09,Birmingham,Southern rodent tick,Ixodes acuminatus,10,52.4563044248207,-1.863519615157589
2019-12-14T15:50:15,London,Fox/badger tick,Ixodes canisuga,11,51.54552954937724,-0.09277282977635681
2018-12-08T15:50:21,Nottingham,Passerine tick,Dermacentor frontalis,12,52.962205565707755,-1.102536347230193
2016-04-21T16:43:38,London,Passerine tick,Dermacentor frontalis,13,51.48554334265011,-0.09949585616529266
2015-06-11T01:55:27,Nottingham,Passerine tick,Dermacentor frontalis,14,52.93849583344487,-1.1623576760263894
2012-08-12T10:39:44,Glasgow,Passerine tick,Dermacentor frontalis,15,55.857584727676176,-4.2082065115471785
2019-02-27T10:45:38,Edinburgh,Fox/badger tick,Ixodes canisuga,16,55.98217807315347,-3.208231196279712
2013-05-10T21:29:40,Glasgow,Marsh tick,Ixodes apronophorus,17,55.880405680785294,-4.243931584291101
2023-03-23T22:05:04,Sheffield,Tree-hole tick,Ixodes arboricola,18,53.41016565579125,-1.4359980657031177
2021-07-31T19:24:24,London,Marsh tick,Ixodes apronophorus,19,51.533477859861904,-0.15595789652303982
2018-10-21T04:07:16,Nottingham,Southern rodent tick,Ixodes acuminatus,20,52.96080781749005,-1.1022520977551062
2019-03-04T23:42:49,Leicester,Tree-hole tick,Ixodes arboricola,21,52.605673713985915,-1.18192788784004
2020-01-15T10:18:38,Birmingham,Marsh tick,Ixodes apronophorus,22,52.44404055125656,-1.8712256655051027
2023-08-07T21:57:23,Leicester,Fox/badger tick,Ixodes canisuga,23,52.608281255664025,-1.0869678987509488
2015-08-07T08:51:49,Leeds,Fox/badger tick,Ixodes canisuga,24,53.79387557083578,-1.5240588300616893
2023-02-06T08:58:44,London,Southern rodent tick,Ixodes acuminatus,25,51.55519682758646,-0.1247059497103542
2012-12-15T13:56:21,Bristol,Marsh tick,Ixodes apronophorus,26,51.44145913416525,-2.53847563925902
2023-12-06T14:02:08,Edinburgh,Marsh tick,Ixodes apronophorus,27,55.93651755941969,-3.1525557981349386
2013-09-27T00:24:59,London,Fox/badger tick,Ixodes canisuga,28,51.46058612096009,-0.12507162948104328
2023-07-30T06:01:12,London,Tree-hole tick,Ixodes arboricola,29,51.505762614196264,-0.1502453690239514
2024-05-25T02:37:06,Leicester,Southern rodent tick,Ixodes acuminatus,30,52.670110339281734,-1.1451439143988584
2016-10-04T12:12:48,Leeds,Tree-hole tick,Ixodes arboricola,31,53.82885884852029,-1.5705560853773801
2015-03-03T15:48:22,Sheffield,Fox/badger tick,Ixodes canisuga,32,53.348807611739275,-1.4681072169566516
2014-12-19T11:51:09,London,Marsh tick,Ixodes apronophorus,33,51.46137600723349,-0.14942003982826185
2014-06-26T19:43:00,Manchester,Passerine tick,Dermacentor frontalis,34,53.52705194536761,-2.268282398072184
2024-10-14T04:16:50,Edinburgh,Fox/badger tick,Ixodes canisuga,35,55.95340841516132,-3.226299687094636
2020-08-05T13:40:01,Leeds,Marsh tick,Ixodes apronophorus,36,53.81864249862523,-1.5063388229950887
2021-07-16T15:13:50,Edinburgh,Fox/badger tick,Ixodes canisuga,37,55.98094604471439,-3.1782326651494017
2019-11-14T05:14:40,Edinburgh,Tree-hole tick,Ixodes arboricola,38,55.92791995642392,-3.1857097552934253
2015-10-11T01:59:18,London,Southern rodent tick,Ixodes acuminatus,39,51.53030891102002,-0.07855542610904648
2022-05-09T23:47:35,Newcastle,Marsh tick,Ixodes apronophorus,40,54.966888124545484,-1.5713693896254433
2012-08-12T10:39:44,Glasgow,Passerine tick,Dermacentor frontalis,41,55.907686121237,-4.2919721602036445
2017-04-02T05:03:53,Leeds,Southern rodent tick,Ixodes acuminatus,42,53.81808211893298,-1.5399421999341163
2018-09-12T12:29:43,Liverpool,Passerine tick,Dermacentor frontalis,43,53.412746742288505,-3.0170612210338663
